Track n°,Slice n°,X,Y,Distance,Velocity,Pixel Value,Calculated t,Calculated z
1,1874,163,82,-1,-1,35,69.40740741,11
1,1901,148,94,2.478,2.478,71,70.40740741,11
1,1928,126,105,3.173,3.173,17,71.40740741,11
1,1955,121,122,2.286,2.286,35,72.40740741,11
2,2552,174,78,-1,-1,163,94.51851852,14
2,2578,160,108,4.271,4.271,101,95.48148148,13
2,2605,144,129,3.406,3.406,160,96.48148148,13
2,2632,138,141,1.731,1.731,89,97.48148148,13
2,2659,144,141,0.774,0.774,72,98.48148148,13
2,2630,128,149,2.308,2.308,106,97.40740741,11
2,2657,132,147,0.577,0.577,53,98.40740741,11
2,2657,132,145,0.258,0.258,161,98.40740741,11
2,2684,128,149,0.73,0.73,179,99.40740741,11
2,2711,131,146,0.547,0.547,17,100.4074074,11
2,2738,104,165,4.259,4.259,106,101.4074074,11
2,2765,81,187,4.106,4.106,64,102.4074074,11
2,2792,56,206,4.051,4.051,110,103.4074074,11
2,2793,52,208,0.577,0.577,14,103.4444444,12
2,2820,22,219,4.122,4.122,110,104.4444444,12
2,2847,11,222,1.471,1.471,47,105.4444444,12
2,2874,69,193,8.365,8.365,33,106.4444444,12
2,2899,105,165,5.883,5.883,106,107.3703704,10
2,2926,96,167,1.189,1.189,32,108.3703704,10
2,2953,73,177,3.235,3.235,64,109.3703704,10
2,2980,32,196,5.829,5.829,0,110.3703704,10
3,4442,152,74,-1,-1,71,164.5185185,14
3,4469,133,92,3.376,3.376,106,165.5185185,14
3,4496,116,119,4.116,4.116,72,166.5185185,14
3,4522,103,143,3.521,3.521,69,167.4814815,13
3,4550,91,168,3.577,3.577,83,168.5185185,14
3,4577,69,195,4.493,4.493,47,169.5185185,14
3,4604,52,213,3.194,3.194,93,170.5185185,14
3,4631,11,223,5.444,5.444,96,171.5185185,14
5,5334,170,58,-1,-1,255,197.5555556,15
5,5361,153,83,3.9,3.9,96,198.5555556,15
5,5388,133,98,3.225,3.225,53,199.5555556,15
5,5415,117,108,2.434,2.434,89,200.5555556,15
5,5442,114,117,1.224,1.224,32,201.5555556,15
5,5469,114,113,0.516,0.516,106,202.5555556,15
5,5496,112,124,1.442,1.442,32,203.5555556,15
5,5523,113,132,1.04,1.04,107,204.5555556,15
5,5550,106,153,2.856,2.856,53,205.5555556,15
5,5577,96,171,2.656,2.656,142,206.5555556,15
5,5604,93,178,0.982,0.982,107,207.5555556,15
5,5631,93,178,0,0,35,208.5555556,15
5,5658,90,182,0.645,0.645,53,209.5555556,15
5,5685,79,193,2.007,2.007,132,210.5555556,15
5,5712,76,192,0.408,0.408,0,211.5555556,15
5,5739,77,195,0.408,0.408,135,212.5555556,15
5,5766,69,200,1.217,1.217,132,213.5555556,15
5,5793,54,210,2.326,2.326,131,214.5555556,15
5,5820,39,217,2.135,2.135,14,215.5555556,15
5,5847,30,227,1.736,1.736,96,216.5555556,15
5,5874,25,226,0.658,0.658,40,217.5555556,15
6,5658,176,75,-1,-1,17,209.5555556,15
6,5685,148,95,4.439,4.439,17,210.5555556,15
6,5712,135,98,1.721,1.721,65,211.5555556,15
6,5739,132,103,0.752,0.752,71,212.5555556,15
6,5766,120,107,1.632,1.632,71,213.5555556,15
6,5793,109,116,1.833,1.833,53,214.5555556,15
6,5820,106,124,1.102,1.102,89,215.5555556,15
6,5847,109,122,0.465,0.465,17,216.5555556,15
6,5874,109,118,0.516,0.516,17,217.5555556,15
6,5901,110,117,0.182,0.182,90,218.5555556,15
6,5928,114,118,0.532,0.532,53,219.5555556,15
6,5955,114,115,0.365,0.365,35,220.5555556,15
6,5981,116,115,0.258,0.258,90,221.5185185,14
6,6009,110,124,1.395,1.395,53,222.5555556,15
6,6036,109,121,0.408,0.408,71,223.5555556,15
6,6063,110,130,1.168,1.168,71,224.5555556,15
6,6090,108,140,1.316,1.316,160,225.5555556,15
6,6117,114,114,3.442,3.442,119,226.5555556,15
6,6144,119,108,1.008,1.008,160,227.5555556,15
6,6171,122,101,0.982,0.982,53,228.5555556,15
6,6198,119,105,0.645,0.645,128,229.5555556,15
6,6225,139,83,3.835,3.835,124,230.5555556,15
6,6253,155,71,2.58,2.58,112,231.5925926,16
6,6280,168,54,2.761,2.761,51,232.5925926,16
6,6307,163,55,0.658,0.658,211,233.5925926,16
6,6334,165,58,0.465,0.465,121,234.5925926,16
6,6361,165,60,0.258,0.258,106,235.5925926,16
6,6388,165,65,0.645,0.645,217,236.5925926,16
6,6415,165,60,0.645,0.645,89,237.5925926,16
7,5632,182,82,-1,-1,65,208.5925926,16
7,5659,170,77,1.677,1.677,100,209.5925926,16
7,5686,151,91,3.045,3.045,89,210.5925926,16
7,5713,132,110,3.466,3.466,53,211.5925926,16
7,5712,138,99,1.616,1.616,124,211.5555556,15
7,5739,134,103,0.73,0.73,53,212.5555556,15
7,5766,121,108,1.797,1.797,89,213.5555556,15
7,5793,111,118,1.824,1.824,0,214.5555556,15
7,5820,108,123,0.752,0.752,35,215.5555556,15
7,5847,110,122,0.288,0.288,35,216.5555556,15
8,6389,196,84,-1,-1,30,236.6296296,17
8,6471,158,94,5.069,5.069,35,239.6666667,18
8,6498,147,104,1.918,1.918,71,240.6666667,18
8,6523,139,113,1.553,1.553,89,241.5925926,16
8,6550,125,118,1.918,1.918,35,242.5925926,16
8,6576,113,130,2.189,2.189,160,243.5555556,15
8,6602,111,135,0.695,0.695,107,244.5185185,14
8,6629,102,139,1.271,1.271,107,245.5185185,14
8,6656,84,153,2.942,2.942,89,246.5185185,14
8,6683,74,161,1.652,1.652,32,247.5185185,14
8,6711,73,168,0.912,0.912,96,248.5555556,15
8,6738,76,172,0.645,0.645,80,249.5555556,15
8,6765,74,166,0.816,0.816,144,250.5555556,15
8,6792,74,173,0.903,0.903,100,251.5555556,15
8,6820,43,201,5.389,5.389,44,252.5925926,16
8,6847,39,195,0.93,0.93,76,253.5925926,16
8,6874,22,199,2.253,2.253,54,254.5925926,16
9,6066,191,68,27.584,27.584,112,224.6666667,18
9,6092,186,71,0.752,0.752,15,225.6296296,17
9,6091,179,93,2.978,2.978,80,225.5925926,16
9,6118,158,110,3.485,3.485,64,226.5925926,16
9,6145,142,124,2.743,2.743,35,227.5925926,16
9,6171,143,127,0.408,0.408,106,228.5555556,15
9,6198,152,111,2.368,2.368,69,229.5555556,15
9,6226,173,97,3.256,3.256,178,230.5925926,16
9,6253,179,91,1.095,1.095,106,231.5925926,16
9,6280,182,89,0.465,0.465,114,232.5925926,16
9,6307,177,89,0.645,0.645,103,233.5925926,16
9,6335,181,76,1.755,1.755,80,234.6296296,17
9,6279,185,86,1.389,1.389,65,232.5555556,15
9,6307,178,89,0.982,0.982,64,233.5925926,16
9,6333,167,85,1.51,1.51,112,234.5555556,15
9,6360,154,94,2.04,2.04,89,235.5555556,15
9,6388,176,86,3.02,3.02,35,236.5925926,16
9,6389,195,85,2.454,2.454,47,236.6296296,17
10,7631,13,190,1.682,1.682,131,282.6296296,17
10,7658,14,185,0.658,0.658,99,283.6296296,17
10,7685,17,187,0.465,0.465,76,284.6296296,17
10,7711,39,179,3.02,3.02,58,285.5925926,16
10,7738,37,179,0.258,0.258,136,286.5925926,16
10,7765,41,176,0.645,0.645,28,287.5925926,16
10,7792,38,178,0.465,0.465,77,288.5925926,16
10,7847,33,182,0.826,0.826,134,290.6296296,17
10,7874,31,181,0.288,0.288,95,291.6296296,17
10,7901,22,186,1.328,1.328,143,292.6296296,17
10,7928,7,187,1.939,1.939,44,293.6296296,17
11,8011,164,70,-1,-1,47,296.7037037,19
11,8038,149,101,4.443,4.443,17,297.7037037,19
11,8065,141,113,1.86,1.86,15,298.7037037,19
11,8038,147,103,1.504,1.504,53,297.7037037,19
11,8064,137,112,1.736,1.736,17,298.6666667,18
11,8064,139,111,0.288,0.288,89,298.6666667,18
11,8091,138,130,2.454,2.454,0,299.6666667,18
11,8119,131,143,1.905,1.905,90,300.7037037,19
11,8146,137,135,1.29,1.29,104,301.7037037,19
11,8198,133,125,1.389,1.389,71,303.6296296,17
11,8225,128,142,2.286,2.286,90,304.6296296,17
11,8251,107,156,3.256,3.256,86,305.5925926,16
11,8279,75,187,5.747,5.747,103,306.6296296,17
11,8306,45,208,4.724,4.724,117,307.6296296,17
11,8334,12,215,4.352,4.352,131,308.6666667,18
12,8145,177,62,-1,-1,85,301.6666667,18
12,8172,166,89,3.761,3.761,71,302.6666667,18
12,8199,132,131,6.971,6.971,83,303.6666667,18
12,8225,127,143,1.677,1.677,161,304.6296296,17
12,8251,109,156,2.864,2.864,17,305.5925926,16
12,8278,77,184,5.485,5.485,80,306.5925926,16
12,8307,38,213,6.269,6.269,114,307.6666667,18
12,8334,10,216,3.633,3.633,73,308.6666667,18
12,9201,171,99,25.674,25.674,103,340.7777778,21
12,9173,163,97,1.064,1.064,140,339.7407407,20
12,9200,143,128,4.759,4.759,35,340.7407407,20
12,9199,128,147,3.123,3.123,89,340.7037037,19
12,9226,137,137,1.736,1.736,51,341.7037037,19
12,9254,128,144,1.471,1.471,106,342.7407407,20
12,9281,126,145,0.288,0.288,53,343.7407407,20
12,9307,130,150,0.826,0.826,71,344.7037037,19
12,9577,131,152,0.288,0.288,17,354.7037037,19
12,9604,105,175,4.478,4.478,53,355.7037037,19
12,9630,90,192,2.925,2.925,17,356.6666667,18
12,9684,140,147,8.678,8.678,130,358.6666667,18
12,9901,136,157,1.389,1.389,17,366.7037037,19
12,9928,147,149,1.755,1.755,17,367.7037037,19
12,9955,137,151,1.316,1.316,17,368.7037037,19
12,9982,140,149,0.465,0.465,17,369.7037037,19
13,10822,166,102,-1,-1,0,400.8148148,22
13,10928,139,104,3.493,3.493,17,404.7407407,20
13,10955,129,121,2.544,2.544,35,405.7407407,20
13,10982,114,132,2.4,2.4,124,406.7407407,20
13,11009,115,140,1.04,1.04,53,407.7407407,20
13,11036,113,147,0.939,0.939,89,408.7407407,20
13,11063,88,174,4.747,4.747,17,409.7407407,20
13,11090,88,177,0.387,0.387,35,410.7407407,20
13,11117,44,201,6.465,6.465,92,411.7407407,20
13,11144,44,201,0,0,210,412.7407407,20
13,11171,44,201,0,0,134,413.7407407,20
13,11198,69,190,3.523,3.523,142,414.7407407,20
13,11225,112,161,6.691,6.691,107,415.7407407,20
13,11252,132,146,3.225,3.225,214,416.7407407,20
13,11279,138,144,0.816,0.816,51,417.7407407,20
13,11306,129,149,1.328,1.328,107,418.7407407,20
13,11333,136,140,1.471,1.471,35,419.7407407,20
13,11360,140,138,0.577,0.577,35,420.7407407,20
13,11389,140,142,0.516,0.516,17,421.8148148,22
13,11416,166,114,4.929,4.929,71,422.8148148,22
13,11445,180,103,2.297,2.297,32,423.8888889,24
13,11472,181,89,1.811,1.811,174,424.8888889,24
13,11499,180,83,0.785,0.785,83,425.8888889,24
13,11526,183,84,0.408,0.408,193,426.8888889,24
13,11553,185,91,0.939,0.939,71,427.8888889,24
13,11580,184,87,0.532,0.532,64,428.8888889,24
13,11607,186,83,0.577,0.577,106,429.8888889,24
13,11634,183,98,1.973,1.973,132,430.8888889,24
13,11661,181,108,1.316,1.316,80,431.8888889,24
13,11686,172,106,1.189,1.189,53,432.8148148,22
13,11713,162,124,2.656,2.656,17,433.8148148,22
13,11740,160,134,1.316,1.316,15,434.8148148,22
13,11767,146,137,1.847,1.847,53,435.8148148,22
13,11794,139,144,1.277,1.277,36,436.8148148,22
13,11821,143,147,0.645,0.645,65,437.8148148,22
13,11848,135,143,1.154,1.154,72,438.8148148,22
13,11875,139,142,0.532,0.532,17,439.8148148,22
13,11902,154,128,2.647,2.647,35,440.8148148,22
14,10876,158,74,-1,-1,17,402.8148148,22
14,10902,149,97,3.186,3.186,71,403.7777778,21
14,10929,141,101,1.154,1.154,50,404.7777778,21
14,10956,129,121,3.009,3.009,53,405.7777778,21
14,10983,118,128,1.682,1.682,17,406.7777778,21
14,11010,118,142,1.806,1.806,53,407.7777778,21
14,11036,114,144,0.577,0.577,71,408.7407407,20
14,11063,90,172,4.757,4.757,35,409.7407407,20
14,11090,67,199,4.575,4.575,0,410.7407407,20
14,11117,34,217,4.849,4.849,103,411.7407407,20
14,11144,16,219,2.336,2.336,40,412.7407407,20
14,11171,4,213,1.731,1.731,34,413.7407407,20
14,11499,182,83,28.434,28.434,214,425.8888889,24
14,11499,181,83,0.129,0.129,96,425.8888889,24
14,11526,183,85,0.365,0.365,114,426.8888889,24
14,11553,183,90,0.645,0.645,245,427.8888889,24
14,11580,184,88,0.288,0.288,153,428.8888889,24
14,11607,187,85,0.547,0.547,154,429.8888889,24
14,11634,183,99,1.878,1.878,144,430.8888889,24
14,11661,180,107,1.102,1.102,65,431.8888889,24
14,11686,174,108,0.785,0.785,17,432.8148148,22
14,11712,136,149,7.211,7.211,71,433.7777778,21
14,11739,134,148,0.288,0.288,17,434.7777778,21
14,11766,141,146,0.939,0.939,71,435.7777778,21
14,11793,135,143,0.865,0.865,71,436.7777778,21
14,11820,140,142,0.658,0.658,71,437.7777778,21
14,11847,136,141,0.532,0.532,53,438.7777778,21
14,11874,138,135,0.816,0.816,151,439.7777778,21
16,11930,180,71,-1,-1,17,441.8518519,23
16,11957,169,98,3.761,3.761,53,442.8518519,23
16,11984,148,117,3.653,3.653,67,443.8518519,23
16,12064,145,132,1.973,1.973,17,446.8148148,22
16,12091,156,122,1.918,1.918,35,447.8148148,22
16,12118,144,134,2.189,2.189,32,448.8148148,22
17,12039,185,68,-1,-1,85,445.8888889,24
17,12066,190,68,0.645,0.645,47,446.8888889,24
17,12093,194,61,1.04,1.04,32,447.8888889,24
17,12120,192,67,0.816,0.816,97,448.8888889,24
17,12146,183,84,2.481,2.481,64,449.8518519,23
17,12173,171,91,1.792,1.792,15,450.8518519,23
17,12200,162,95,1.271,1.271,53,451.8518519,23
17,12227,161,102,0.912,0.912,64,452.8518519,23
17,12254,166,98,0.826,0.826,53,453.8518519,23
17,12281,157,107,1.642,1.642,71,454.8518519,23
17,12308,156,126,2.454,2.454,71,455.8518519,23
17,12335,158,122,0.577,0.577,32,456.8518519,23
17,12362,157,126,0.532,0.532,71,457.8518519,23
17,12389,150,133,1.277,1.277,50,458.8518519,23
18,12635,218,54,-1,-1,43,467.962963,26
18,12661,221,51,0.547,0.547,13,468.9259259,25
18,12689,212,48,1.224,1.224,89,469.962963,26
18,12716,203,60,1.935,1.935,95,470.962963,26
18,12742,178,84,4.471,4.471,35,471.9259259,25
18,12769,159,108,3.949,3.949,35,472.9259259,25
18,12796,157,137,3.75,3.75,35,473.9259259,25
18,12821,156,125,1.553,1.553,35,474.8518519,23
18,12848,148,151,3.509,3.509,89,475.8518519,23
18,12873,126,165,3.364,3.364,106,476.7777778,21
18,12900,85,180,5.632,5.632,80,477.7777778,21
18,12927,73,188,1.86,1.86,69,478.7777778,21
18,12954,49,193,3.162,3.162,44,479.7777778,21
18,12981,25,190,3.12,3.12,69,480.7777778,21
19,11472,182,88,-1,-1,181,424.8888889,24
19,11499,180,85,0.465,0.465,47,425.8888889,24
19,11526,183,86,0.408,0.408,85,426.8888889,24
19,11553,183,91,0.645,0.645,32,427.8888889,24
19,11580,183,87,0.516,0.516,144,428.8888889,24
19,11607,186,86,0.408,0.408,150,429.8888889,24
19,11634,183,100,1.847,1.847,64,430.8888889,24
19,11661,181,108,1.064,1.064,80,431.8888889,24
19,11686,175,107,0.785,0.785,67,432.8148148,22
19,11712,135,151,7.671,7.671,124,433.7777778,21
19,11739,133,152,0.288,0.288,71,434.7777778,21
19,12686,182,73,11.992,11.992,97,469.8518519,23
19,12713,169,86,2.372,2.372,107,470.8518519,23
20,12254,159,85,-1,-1,53,453.8518519,23
20,12281,154,89,0.826,0.826,50,454.8518519,23
20,12308,146,96,1.371,1.371,47,455.8518519,23
20,12335,146,97,0.129,0.129,71,456.8518519,23
20,12362,145,102,0.658,0.658,143,457.8518519,23
21,12794,172,86,-1,-1,15,473.8518519,23
21,12821,168,86,0.516,0.516,71,474.8518519,23
21,12848,157,90,1.51,1.51,35,475.8518519,23
21,12875,142,101,2.4,2.4,47,476.8518519,23
21,12902,142,108,0.903,0.903,71,477.8518519,23
21,12929,129,124,2.659,2.659,53,478.8518519,23
21,12954,115,137,2.465,2.465,0,479.7777778,21
21,12981,76,154,5.488,5.488,71,480.7777778,21
21,13008,60,176,3.509,3.509,47,481.7777778,21